REF_DATE,PRENAME,Sex,Age group and first officiel language spoken,Immigrant and generation status,Visible minority status,"Highest certificate, diploma or degree",Indicators,VALUE
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,64.1
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,65.8
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,65.2
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,67
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,61.2
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,59.6
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,61.7
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,60.3
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,61.5
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,60.3
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,68.2
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,67.5
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,69.4
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,74.8
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,71.5
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,73.4
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,68.4
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,67.3
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,71.7
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,66.2
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,65
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,66.8
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,65.1
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,64.9
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,65
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,61.4
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,58.7
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,60.2
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,57.3
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,57.2
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,55.4
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,56
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,63.7
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,62.8
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,67.3
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,69.7
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,69.2
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,66.7
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,65.6
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,68
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,64.8
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,64.5
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,63.8
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,67.1
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,65.5
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,64.7
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,67.8
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,65.9
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,65.3
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,68.3
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,66
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,66
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,63.4
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,62.3
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,59.7
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,71.1
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,67
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,67.2
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,75.7
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,75
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,75
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,72.4
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,71.3
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,71.8
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,60.9
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,59.4
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,56.7
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,68.4
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,67.9
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,67
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,63.8
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,61.3
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,61.7
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,58.1
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,57.8
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,60.5
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,61.4
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,59.9
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,61.2
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,71.2
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,67.3
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,68.5
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,72.4
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,66.7
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,67.9
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,66.9
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,65.4
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,64.5
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,67.3
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,67.3
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,66.1
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,72.2
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,72.3
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,72.6
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,72.6
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,70
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,73.1
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,61.1
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,65.2
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,61.3
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,74.3
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,72.9
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,71
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,77.2
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,76.7
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,77.5
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,77
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,76.5
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,77.7
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,57.5
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,59.9
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,53.3
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,75
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,71.7
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,72.3
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,62.6
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,66
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,64.1
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,53.1
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,56.8
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,64.8
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,57.2
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,64.6
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,61.8
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,78.7
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,73.1
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,73
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,73.3
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,70.7
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,74.6
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,66.8
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,66.5
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,64.8
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,68.4
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,69.2
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,68.3
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,68.9
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,75
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,75.4
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,71.1
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,74.8
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,76
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,61.5
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,67.3
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,64.5
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,75.1
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,74.4
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,74.4
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,74.2
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,83.2
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,84.7
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,76.2
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,77.7
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,79.2
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,64
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,62
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,49.6
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,71.9
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,78.9
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,75.7
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,67.5
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,68.2
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,76.3
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,58.3
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,61.2
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,67.1
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,56.6
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,78.1
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,57.2
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,72.6
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,64.9
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,73.9
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,79.4
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,75.1
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,73.3
2006,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,68.4
2011,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,68.9
2016,Saskatchewan,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,67.5
2006,Alberta,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,74
2011,Alberta,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,73.2
2016,Alberta,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,71.8
2006,Alberta,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,73
2011,Alberta,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,73.5
2016,Alberta,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,73.1
2006,Alberta,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,73.1
2011,Alberta,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,71.6
2016,Alberta,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,72.1
2006,Alberta,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,68.5
