REF_DATE,PRENAME,Sex,Age group and first officiel language spoken,Immigrant and generation status,Visible minority status,"Highest certificate, diploma or degree",Indicators,VALUE
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Employment rate,75.3
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Unemployment rate,7.8
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Unemployment rate,5.7
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Unemployment rate,6.4
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Population in full-time employment,76.7
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Population in full-time employment,83.6
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Population in full-time employment,87.3
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,66.7
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,75.1
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,74.6
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Employment rate,62.2
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Employment rate,59.3
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Employment rate,66.2
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Unemployment rate,8.1
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Unemployment rate,21
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Unemployment rate,10.6
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Population in full-time employment,76
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Population in full-time employment,75.2
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Population in full-time employment,70.6
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,64.8
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,62.1
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,46.2
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Employment rate,56.6
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Employment rate,55.5
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Employment rate,39.8
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Unemployment rate,13.8
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Unemployment rate,10.7
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Unemployment rate,14.5
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Population in full-time employment,80.6
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Population in full-time employment,72.6
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Population in full-time employment,75.4
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,62.7
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,64.5
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,68.3
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Employment rate,60
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Employment rate,51.8
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Employment rate,61.7
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,4.3
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,19.7
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,9.6
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,60.8
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,87.3
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,76
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,58
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,67.9
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,59.7
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Employment rate,49.4
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Employment rate,60.7
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Employment rate,50.4
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,14.9
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,15.5
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,78
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,71.8
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,68.1
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,39.3
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,61.9
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,61.5
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Employment rate,34.8
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Employment rate,52.7
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Employment rate,57.5
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Unemployment rate,11.4
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Unemployment rate,14.9
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Unemployment rate,6.5
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Population in full-time employment,61
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Population in full-time employment,65.6
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Population in full-time employment,62.6
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,48.1
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,74.5
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,64.7
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Employment rate,40.7
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Employment rate,70.2
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Employment rate,64.7
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Unemployment rate,15.4
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Unemployment rate,
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Unemployment rate,
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Population in full-time employment,86.7
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Population in full-time employment,78.9
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Population in full-time employment,44
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,65.4
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,80
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,64.4
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Employment rate,61.5
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Employment rate,80
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Employment rate,57.8
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Unemployment rate,11.8
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Unemployment rate,
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Unemployment rate,10.3
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Population in full-time employment,87.5
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Population in full-time employment,91.7
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Population in full-time employment,63.6
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,71.4
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,54.7
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,65.2
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Employment rate,63.3
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Employment rate,43.4
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Employment rate,55.4
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Unemployment rate,11.4
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Unemployment rate,17.2
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Unemployment rate,15
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Population in full-time employment,64.9
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Population in full-time employment,71
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Population in full-time employment,75
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,63.7
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,63.4
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,61.5
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Employment rate,57.4
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Employment rate,56.5
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Employment rate,54.6
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Unemployment rate,10
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Unemployment rate,11
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Unemployment rate,11.2
2006,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Population in full-time employment,80.2
2011,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Population in full-time employment,80.9
2016,New Brunswick,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Population in full-time employment,80.3
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,64.9
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,64.6
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,64.1
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Employment rate,60.4
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Employment rate,59.9
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Employment rate,59.5
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Unemployment rate,7
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Unemployment rate,7.2
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Unemployment rate,7.2
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Population in full-time employment,79.2
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Population in full-time employment,79.2
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Population in full-time employment,77.3
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,65.8
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,65.2
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,67
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Employment rate,57.2
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Employment rate,56.5
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Employment rate,59.2
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Unemployment rate,13.1
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Unemployment rate,13.3
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Unemployment rate,11.7
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Population in full-time employment,76.7
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Population in full-time employment,77.4
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Population in full-time employment,73.8
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,61.2
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,59.6
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,61.7
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Employment rate,52
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Employment rate,51.1
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Employment rate,54.5
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,14.9
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,14.2
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,11.7
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,78.6
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,77.5
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,74.6
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,60.3
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,61.5
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,60.3
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Employment rate,54.6
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Employment rate,55.1
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Employment rate,54.6
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Unemployment rate,9.4
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Unemployment rate,10.5
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Unemployment rate,9.5
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Population in full-time employment,77.8
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Population in full-time employment,77.3
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Population in full-time employment,72.8
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,68.2
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,67.5
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,69.4
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Employment rate,59
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Employment rate,57.8
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Employment rate,60.4
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Unemployment rate,13.5
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Unemployment rate,14.3
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Unemployment rate,13
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Population in full-time employment,73.7
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Population in full-time employment,75.6
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Population in full-time employment,72.3
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,74.8
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,71.5
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,73.4
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Employment rate,70.5
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Employment rate,66.9
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Employment rate,68.6
2006,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Unemployment rate,5.7
2011,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Unemployment rate,6.5
2016,Quebec Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Unemployment rate,6.5
